"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_002310475.1_ASM231047v1","GCF_010669245.1_ASM1066924v1","GCF_012219705.1_ASM1221970v1","GCF_012219925.1_ASM1221992v1","GCF_012220065.1_ASM1222006v1","GCF_012220405.1_ASM1222040v1"
"pucK","","Uric acid permease PucK","6","6","1","1","1900","","","","1262","1262","1262","GCF_002310475.1_01597","GCF_010669245.1_01190","GCF_012219705.1_00611","GCF_012219925.1_00756","GCF_012220065.1_00585","GCF_012220405.1_00514"
"alsS","","Acetolactate synthase","6","6","1","1","2053","","","","1658","1658","1658","GCF_002310475.1_02001","GCF_010669245.1_00515","GCF_012219705.1_01110","GCF_012219925.1_01416","GCF_012220065.1_00999","GCF_012220405.1_01025"
"group_3644","","hypothetical protein","6","6","1","1","3246","","","","662","662","662","GCF_002310475.1_01167","GCF_010669245.1_01638","GCF_012219705.1_00184","GCF_012219925.1_00137","GCF_012220065.1_00124","GCF_012220405.1_00123"
"group_3645","","hypothetical protein","6","6","1","1","2697","","","","2006","2006","2006","GCF_002310475.1_00746","GCF_010669245.1_02121","GCF_012219705.1_02136","GCF_012219925.1_02334","GCF_012220065.1_02001","GCF_012220405.1_01973"
"group_3646","","hypothetical protein","6","6","1","1","4041","","","","1163","1163","1163","GCF_002310475.1_00119","GCF_010669245.1_00783","GCF_012219705.1_01450","GCF_012219925.1_01582","GCF_012220065.1_01403","GCF_012220405.1_01385"
"glyQ","","Glycine--tRNA ligase alpha subunit","6","6","1","1","2760","","","","947","947","947","GCF_002310475.1_01865","GCF_010669245.1_00373","GCF_012219705.1_00977","GCF_012219925.1_01556","GCF_012220065.1_00867","GCF_012220405.1_00881"
"group_3648","","putative ABC transporter ATP-binding protein","6","6","1","1","3400","","","","1865","1865","1865","GCF_002310475.1_01360","GCF_010669245.1_01421","GCF_012219705.1_00375","GCF_012219925.1_00562","GCF_012220065.1_00347","GCF_012220405.1_00325"
"group_3649","","Formate dehydrogenase, mitochondrial","6","6","1","1","3087","","","","1181","1181","1181","GCF_002310475.1_01750","GCF_010669245.1_00256","GCF_012219705.1_00760","GCF_012219925.1_00920","GCF_012220065.1_00734","GCF_012220405.1_00666"
"purF","","Amidophosphoribosyltransferase","6","6","1","1","4053","","","","1427","1427","1427","GCF_002310475.1_00131","GCF_010669245.1_00794","GCF_012219705.1_01462","GCF_012219925.1_01592","GCF_012220065.1_01414","GCF_012220405.1_01398"
"gmuE","","Putative fructokinase","6","6","1","1","1771","","","","881","881","881","GCF_002310475.1_00051","GCF_010669245.1_00741","GCF_012219705.1_01407","GCF_012219925.1_01077","GCF_012220065.1_01355","GCF_012220405.1_01338"
"aroH","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive","6","6","1","1","1682","","","","1028","1028","1028","GCF_002310475.1_00787","GCF_010669245.1_02081","GCF_012219705.1_02176","GCF_012219925.1_02375","GCF_012220065.1_02041","GCF_012220405.1_02014"
"rluB","","Ribosomal large subunit pseudouridine synthase B","6","6","1","1","2437","","","","719","719","719","GCF_002310475.1_02043","GCF_010669245.1_00556","GCF_012219705.1_01202","GCF_012219925.1_01370","GCF_012220065.1_01085","GCF_012220405.1_01170"
"glpF","","Glycerol uptake facilitator protein","6","6","1","1","2524","","","","713","713","713","GCF_002310475.1_02015","GCF_010669245.1_00530","GCF_012219705.1_01124","GCF_012219925.1_01402","GCF_012220065.1_01013","GCF_012220405.1_01197"
"group_3655","","hypothetical protein","6","6","1","1","1439","","","","332","332","332","GCF_002310475.1_01273","GCF_010669245.1_01520","GCF_012219705.1_00287","GCF_012219925.1_00450","GCF_012220065.1_00232","GCF_012220405.1_00232"
"bioB","","Biotin synthase","6","6","1","1","3803","","","","356","1013","684","GCF_002310475.1_00298","GCF_010669245.1_00978","GCF_012219705.1_01654","GCF_012219925.1_01746","GCF_012220065.1_01553","GCF_012220405.1_01535"
"comEC","","ComE operon protein 3","6","6","1","1","3793","","","","1634","2252","2148","GCF_002310475.1_00308","GCF_010669245.1_00988","GCF_012219705.1_01664","GCF_012219925.1_01756","GCF_012220065.1_01563","GCF_012220405.1_01545"
"parC","","DNA topoisomerase 4 subunit A","6","6","1","1","3325","","","","2447","2447","2447","GCF_002310475.1_02172","GCF_010669245.1_00665","GCF_012219705.1_01331","GCF_012219925.1_01164","GCF_012220065.1_01281","GCF_012220405.1_01266"
"group_3672","","hypothetical protein","6","6","1","1","2965","","","","380","380","380","GCF_002310475.1_01933","GCF_010669245.1_00442","GCF_012219705.1_01043","GCF_012219925.1_01486","GCF_012220065.1_00933","GCF_012220405.1_00954"
"pyrH","","Uridylate kinase","6","6","1","1","1482","","","","719","719","719","GCF_002310475.1_00655","GCF_010669245.1_02204","GCF_012219705.1_02016","GCF_012219925.1_02232","GCF_012220065.1_01902","GCF_012220405.1_01897"
"kimA","","Potassium transporter KimA","6","6","1","1","1847","","","","1844","1844","1844","GCF_002310475.1_01620","GCF_010669245.1_01167","GCF_012219705.1_00634","GCF_012219925.1_00784","GCF_012220065.1_00608","GCF_012220405.1_00541"
"dusB","","tRNA-dihydrouridine synthase B","6","6","1","1","1414","","","","989","989","989","GCF_002310475.1_01306","GCF_010669245.1_01485","GCF_012219705.1_00318","GCF_012219925.1_00494","GCF_012220065.1_00265","GCF_012220405.1_00265"
"upp","","Uracil phosphoribosyltransferase","6","6","1","1","1850","","","","635","635","635","GCF_002310475.1_01618","GCF_010669245.1_01169","GCF_012219705.1_00632","GCF_012219925.1_00782","GCF_012220065.1_00606","GCF_012220405.1_00539"
"group_3677","","hypothetical protein","6","6","1","1","2901","","","","533","533","533","GCF_002310475.1_01979","GCF_010669245.1_00490","GCF_012219705.1_01088","GCF_012219925.1_01440","GCF_012220065.1_00977","GCF_012220405.1_01004"
"ybiT_1","","putative ABC transporter ATP-binding protein YbiT","6","6","1","1","3123","","","","1478","1478","1478","GCF_002310475.1_01783","GCF_010669245.1_00293","GCF_012219705.1_00793","GCF_012219925.1_00964","GCF_012220065.1_00767","GCF_012220405.1_00699"
"group_3679","","hypothetical protein","6","6","1","1","1549","","","","692","692","692","GCF_002310475.1_02081","GCF_010669245.1_00590","GCF_012219705.1_01239","GCF_012219925.1_01307","GCF_012220065.1_01190","GCF_012220405.1_01065"
"rsmC","","Ribosomal RNA small subunit methyltransferase C","6","6","1","1","2921","","","","602","602","602","GCF_002310475.1_01960","GCF_010669245.1_00472","GCF_012219705.1_01071","GCF_012219925.1_01458","GCF_012220065.1_00960","GCF_012220405.1_00983"
"aspS_2","","Aspartate--tRNA ligase","6","6","1","1","3357","","","","1763","1763","1763","GCF_002310475.1_01346","GCF_010669245.1_01444","GCF_012219705.1_00359","GCF_012219925.1_00542","GCF_012220065.1_00306","GCF_012220405.1_00305"
"group_3682","","hypothetical protein","6","6","1","1","1516","","","","323","323","323","GCF_002310475.1_00623","GCF_010669245.1_02238","GCF_012219705.1_01984","GCF_012219925.1_02199","GCF_012220065.1_01869","GCF_012220405.1_01864"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","6","6","1","1","3813","","","","1124","1124","1124","GCF_002310475.1_00287","GCF_010669245.1_00967","GCF_012219705.1_01642","GCF_012219925.1_01735","GCF_012220065.1_01542","GCF_012220405.1_01524"
"smc_1","","Chromosome partition protein Smc","6","6","1","1","3103","","","","3536","3536","3536","GCF_002310475.1_01762","GCF_010669245.1_00271","GCF_012219705.1_00772","GCF_012219925.1_00943","GCF_012220065.1_00746","GCF_012220405.1_00678"
"group_3685","","hypothetical protein","6","6","1","1","1679","","","","416","416","416","GCF_002310475.1_00783","GCF_010669245.1_02084","GCF_012219705.1_02173","GCF_012219925.1_02372","GCF_012220065.1_02038","GCF_012220405.1_02011"
"arsC","","Arsenate reductase","6","6","1","1","1558","","","","410","410","410","GCF_002310475.1_02088","GCF_010669245.1_00597","GCF_012219705.1_01246","GCF_012219925.1_01300","GCF_012220065.1_01197","GCF_012220405.1_01055"
"rnr","","Ribonuclease R","6","6","1","1","4080","","","","2303","2303","2303","GCF_002310475.1_00157","GCF_010669245.1_00820","GCF_012219705.1_01488","GCF_012219925.1_01620","GCF_012220065.1_01440","GCF_012220405.1_01425"
"arcC1","","Carbamate kinase 1","6","6","1","1","1427","","","","938","938","938","GCF_002310475.1_01293","GCF_010669245.1_01498","GCF_012219705.1_00305","GCF_012219925.1_00481","GCF_012220065.1_00252","GCF_012220405.1_00252"
"group_3692","","hypothetical protein","6","6","1","1","1591","","","","677","677","677","GCF_002310475.1_00892","GCF_010669245.1_01971","GCF_012219705.1_02283","GCF_012219925.1_00290","GCF_012220065.1_02149","GCF_012220405.1_02121"
"oatA_1","","O-acetyltransferase OatA","6","6","1","1","1274","","","","1880","1880","1880","GCF_002310475.1_01039","GCF_010669245.1_01735","GCF_012219705.1_00045","GCF_012219925.1_00020","GCF_012220065.1_00020","GCF_012220405.1_00020"
"sasA_3","","Adaptive-response sensory-kinase SasA","6","6","1","1","2523","","","","1538","1538","1538","GCF_002310475.1_02016","GCF_010669245.1_00531","GCF_012219705.1_01125","GCF_012219925.1_01401","GCF_012220065.1_01014","GCF_012220405.1_01196"
"group_3695","","hypothetical protein","6","6","1","1","3787","","","","434","434","434","GCF_002310475.1_00312","GCF_010669245.1_00992","GCF_012219705.1_01668","GCF_012219925.1_01761","GCF_012220065.1_01567","GCF_012220405.1_01549"
"zwf","","Glucose-6-phosphate 1-dehydrogenase","6","6","1","1","1842","","","","1484","1484","1484","GCF_002310475.1_01625","GCF_010669245.1_01162","GCF_012219705.1_00639","GCF_012219925.1_00790","GCF_012220065.1_00613","GCF_012220405.1_00544"
"yacL","","putative PIN and TRAM-domain containing protein YacL","6","6","1","1","1078","","","","1073","1073","1073","GCF_002310475.1_00673","GCF_010669245.1_02186","GCF_012219705.1_02034","GCF_012219925.1_02250","GCF_012220065.1_01920","GCF_012220405.1_01915"
"tpx","","Thiol peroxidase","6","6","1","1","2119","","","","479","479","479","GCF_002310475.1_01522","GCF_010669245.1_01261","GCF_012219705.1_00585","GCF_012219925.1_00729","GCF_012220065.1_00502","GCF_012220405.1_00486"
"group_3699","","hypothetical protein","6","6","1","1","3184","","","","950","950","950","GCF_002310475.1_01448","GCF_010669245.1_01329","GCF_012219705.1_00522","GCF_012219925.1_00657","GCF_012220065.1_00438","GCF_012220405.1_00421"
"aspB","","Asparagine--oxo-acid transaminase","6","6","1","1","3007","","","","1178","1178","1178","GCF_002310475.1_01653","GCF_010669245.1_00154","GCF_012219705.1_00667","GCF_012219925.1_00818","GCF_012220065.1_00641","GCF_012220405.1_00572"
"murA1_2","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1","6","6","1","1","2675","","","","1286","1286","1286","GCF_002310475.1_00766","GCF_010669245.1_02101","GCF_012219705.1_02156","GCF_012219925.1_02355","GCF_012220065.1_02021","GCF_012220405.1_01994"
"group_3702","","L-2-hydroxyisocaproate dehydrogenase","6","6","1","1","741","","","","830","830","830","GCF_002310475.1_01433","GCF_010669245.1_01344","GCF_012219705.1_00507","GCF_012219925.1_00642","GCF_012220065.1_00422","GCF_012220405.1_00405"
"pstB3_2","","Phosphate import ATP-binding protein PstB 3","6","6","1","1","4067","","","","803","803","803","GCF_002310475.1_00145","GCF_010669245.1_00808","GCF_012219705.1_01476","GCF_012219925.1_01606","GCF_012220065.1_01428","GCF_012220405.1_01412"
"group_3704","","hypothetical protein","6","6","1","1","3058","","","","680","680","680","GCF_002310475.1_01702","GCF_010669245.1_00205","GCF_012219705.1_00713","GCF_012219925.1_00870","GCF_012220065.1_00687","GCF_012220405.1_00619"
"group_3705","","hypothetical protein","6","6","1","1","1897","","","","779","779","779","GCF_002310475.1_01592","GCF_010669245.1_01195","GCF_012219705.1_00605","GCF_012219925.1_00750","GCF_012220065.1_00580","GCF_012220405.1_00509"
"ruvB","","Holliday junction ATP-dependent DNA helicase RuvB","6","6","1","1","2706","","","","1019","1019","1019","GCF_002310475.1_00737","GCF_010669245.1_02137","GCF_012219705.1_02127","GCF_012219925.1_02319","GCF_012220065.1_01992","GCF_012220405.1_01958"
"slyA","","Transcriptional regulator SlyA","6","6","1","1","3398","","","","455","455","455","GCF_002310475.1_01358","GCF_010669245.1_01423","GCF_012219705.1_00373","GCF_012219925.1_00560","GCF_012220065.1_00345","GCF_012220405.1_00323"
"carB","","Carbamoyl-phosphate synthase large chain","6","6","1","1","1992","","","","3188","3188","3188","GCF_002310475.1_01879","GCF_010669245.1_00387","GCF_012219705.1_00991","GCF_012219925.1_01542","GCF_012220065.1_00881","GCF_012220405.1_00895"
"group_3724","","hypothetical protein","6","6","1","1","1707","","","","590","590","590","GCF_002310475.1_00804","GCF_010669245.1_02064","GCF_012219705.1_02193","GCF_012219925.1_02399","GCF_012220065.1_02060","GCF_012220405.1_02031"
"ydjP","","AB hydrolase superfamily protein YdjP","6","6","1","1","3745","","","","794","794","794","GCF_002310475.1_00345","GCF_010669245.1_01026","GCF_012219705.1_01701","GCF_012219925.1_01804","GCF_012220065.1_01601","GCF_012220405.1_01582"
"group_3726","","hypothetical protein","6","6","1","1","1090","","","","1262","1262","1262","GCF_002310475.1_00478","GCF_010669245.1_00078","GCF_012219705.1_01832","GCF_012219925.1_02030","GCF_012220065.1_01725","GCF_012220405.1_01709"
"yclQ","","Petrobactin-binding protein YclQ","6","6","1","1","2002","","","","950","950","950","GCF_002310475.1_01889","GCF_010669245.1_00397","GCF_012219705.1_01001","GCF_012219925.1_01532","GCF_012220065.1_00891","GCF_012220405.1_00906"
"rlmL_1","","Ribosomal RNA large subunit methyltransferase L","6","6","1","1","1998","","","","1151","1151","1151","GCF_002310475.1_01885","GCF_010669245.1_00393","GCF_012219705.1_00997","GCF_012219925.1_01536","GCF_012220065.1_00887","GCF_012220405.1_00901"
"nadB","","L-aspartate oxidase","6","6","1","1","1961","","","","1496","1496","1496","GCF_002310475.1_00034","GCF_010669245.1_00719","GCF_012219705.1_01391","GCF_012219925.1_01097","GCF_012220065.1_01339","GCF_012220405.1_01321"
"ctpE","","Calcium-transporting ATPase CtpE","6","6","1","1","3684","","","","1262","2420","2227","GCF_002310475.1_00399","GCF_010669245.1_01071","GCF_012219705.1_01740","GCF_012219925.1_01863","GCF_012220065.1_01639","GCF_012220405.1_01620"
"yitU","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU","6","6","1","1","4056","","","","812","812","812","GCF_002310475.1_00134","GCF_010669245.1_00797","GCF_012219705.1_01465","GCF_012219925.1_01595","GCF_012220065.1_01417","GCF_012220405.1_01401"
"pdhD","","Dihydrolipoyl dehydrogenase","6","6","1","1","3751","","","","1412","1412","1412","GCF_002310475.1_00340","GCF_010669245.1_01021","GCF_012219705.1_01696","GCF_012219925.1_01799","GCF_012220065.1_01596","GCF_012220405.1_01577"
"uvrA","","UvrABC system protein A","6","6","1","1","3018","","","","2825","2825","2825","GCF_002310475.1_01664","GCF_010669245.1_00165","GCF_012219705.1_00676","GCF_012219925.1_00827","GCF_012220065.1_00650","GCF_012220405.1_00581"
"pepT","","Peptidase T","6","6","1","1","1441","","","","1232","1232","1232","GCF_002310475.1_01275","GCF_010669245.1_01518","GCF_012219705.1_00289","GCF_012219925.1_00452","GCF_012220065.1_00234","GCF_012220405.1_00234"
"yacP","","putative protein YacP","6","6","1","1","1505","","","","512","512","512","GCF_002310475.1_00634","GCF_010669245.1_02227","GCF_012219705.1_01995","GCF_012219925.1_02210","GCF_012220065.1_01880","GCF_012220405.1_01875"
"polC","","DNA polymerase III PolC-type","6","6","1","1","1615","","","","4394","4394","4394","GCF_002310475.1_00874","GCF_010669245.1_01992","GCF_012219705.1_02265","GCF_012219925.1_00307","GCF_012220065.1_02131","GCF_012220405.1_02101"
"nagR_2","","HTH-type transcriptional repressor NagR","6","6","1","1","2051","","","","701","701","701","GCF_002310475.1_01999","GCF_010669245.1_00513","GCF_012219705.1_01108","GCF_012219925.1_01418","GCF_012220065.1_00997","GCF_012220405.1_01023"
"group_3737","","hypothetical protein","6","6","1","1","3192","","","","809","809","809","GCF_002310475.1_01456","GCF_010669245.1_01320","GCF_012219705.1_00530","GCF_012219925.1_00667","GCF_012220065.1_00446","GCF_012220405.1_00429"
"czcD","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","6","6","1","1","3155","","","","896","896","896","GCF_002310475.1_01507","GCF_010669245.1_01277","GCF_012219705.1_00570","GCF_012219925.1_00711","GCF_012220065.1_00487","GCF_012220405.1_00471"
"treR","","HTH-type transcriptional regulator TreR","6","6","1","1","3028","","","","716","716","716","GCF_002310475.1_01674","GCF_010669245.1_00176","GCF_012219705.1_00686","GCF_012219925.1_00842","GCF_012220065.1_00660","GCF_012220405.1_00591"
"group_3740","","hypothetical protein","6","6","1","1","2533","","","","1157","1157","1157","GCF_002310475.1_02007","GCF_010669245.1_00521","GCF_012219705.1_01116","GCF_012219925.1_01410","GCF_012220065.1_01005","GCF_012220405.1_01206"
"nrnA","","putative bifunctional oligoribonuclease and PAP phosphatase NrnA","6","6","1","1","2842","","","","935","935","935","GCF_002310475.1_01817","GCF_010669245.1_00326","GCF_012219705.1_00826","GCF_012219925.1_01000","GCF_012220065.1_00819","GCF_012220405.1_00732"
"group_3742","","hypothetical protein","6","6","1","1","1412","","","","440","440","440","GCF_002310475.1_01308","GCF_010669245.1_01483","GCF_012219705.1_00320","GCF_012219925.1_00496","GCF_012220065.1_00267","GCF_012220405.1_00267"
"rpsH","","30S ribosomal protein S8","6","6","1","1","1651","","","","398","398","398","GCF_002310475.1_00839","GCF_010669245.1_02027","GCF_012219705.1_02228","GCF_012219925.1_00345","GCF_012220065.1_02096","GCF_012220405.1_02066"
"rplE","","50S ribosomal protein L5","6","6","1","1","1650","","","","542","542","542","GCF_002310475.1_00840","GCF_010669245.1_02026","GCF_012219705.1_02229","GCF_012219925.1_00344","GCF_012220065.1_02097","GCF_012220405.1_02067"
"spsB","","Signal peptidase IB","6","6","1","1","1722","","","","560","560","560","GCF_002310475.1_00101","GCF_010669245.1_00762","GCF_012219705.1_01428","GCF_012219925.1_01056","GCF_012220065.1_01376","GCF_012220405.1_01359"
"metH","","Methionine synthase","6","6","1","1","3147","","","","2387","2387","2387","GCF_002310475.1_01807","GCF_010669245.1_00316","GCF_012219705.1_00817","GCF_012219925.1_00990","GCF_012220065.1_00792","GCF_012220405.1_00723"
"group_3747","","L-lactate transporter","6","6","1","1","1559","","","","1214","1214","1214","GCF_002310475.1_02089","GCF_010669245.1_00598","GCF_012219705.1_01247","GCF_012219925.1_01299","GCF_012220065.1_01198","GCF_012220405.1_01054"
"frp","","NADPH-flavin oxidoreductase","6","6","1","1","3055","","","","722","722","722","GCF_002310475.1_01701","GCF_010669245.1_00204","GCF_012219705.1_00712","GCF_012219925.1_00869","GCF_012220065.1_00686","GCF_012220405.1_00618"
"bioY2","","Biotin transporter BioY2","6","6","1","1","747","","","","602","602","602","GCF_002310475.1_01428","GCF_010669245.1_01349","GCF_012219705.1_00502","GCF_012219925.1_00636","GCF_012220065.1_00417","GCF_012220405.1_00400"
"eis","","N-acetyltransferase Eis","6","6","1","1","3682","","","","749","989","949","GCF_002310475.1_00400","GCF_010669245.1_01073","GCF_012219705.1_01741","GCF_012219925.1_01864","GCF_012220065.1_01640","GCF_012220405.1_01622"
"gltX","","Glutamate--tRNA ligase","6","6","1","1","1074","","","","1448","1448","1448","GCF_002310475.1_00669","GCF_010669245.1_02190","GCF_012219705.1_02030","GCF_012219925.1_02246","GCF_012220065.1_01916","GCF_012220405.1_01911"
"dnaI","","Primosomal protein DnaI","6","6","1","1","3054","","","","887","887","887","GCF_002310475.1_01700","GCF_010669245.1_00203","GCF_012219705.1_00711","GCF_012219925.1_00868","GCF_012220065.1_00685","GCF_012220405.1_00617"
"agaS","","Putative D-galactosamine-6-phosphate deaminase AgaS","6","6","1","1","3739","","","","1172","1172","1172","GCF_002310475.1_00352","GCF_010669245.1_01035","GCF_012219705.1_01707","GCF_012219925.1_01811","GCF_012220065.1_01607","GCF_012220405.1_01588"
"prmA","","Ribosomal protein L11 methyltransferase","6","6","1","1","4162","","","","956","956","956","GCF_002310475.1_00974","GCF_010669245.1_01870","GCF_012219705.1_02363","GCF_012219925.1_02503","GCF_012220065.1_02230","GCF_012220405.1_02228"
"ctsR","","Transcriptional regulator CtsR","6","6","1","1","499","","","","440","440","440","GCF_002310475.1_00551","GCF_010669245.1_02303","GCF_012219705.1_01907","GCF_012219925.1_02108","GCF_012220065.1_01799","GCF_012220405.1_01784"
"pbuG","","Guanine/hypoxanthine permease PbuG","6","6","1","1","4055","","","","1439","1439","1439","GCF_002310475.1_00133","GCF_010669245.1_00796","GCF_012219705.1_01464","GCF_012219925.1_01594","GCF_012220065.1_01416","GCF_012220405.1_01400"
"gbuA","","Glycine betaine/carnitine transport ATP-binding protein GbuA","6","6","1","1","2994","","","","1253","1253","1253","GCF_002310475.1_01641","GCF_010669245.1_01118","GCF_012219705.1_00655","GCF_012219925.1_00806","GCF_012220065.1_00629","GCF_012220405.1_00560"
"glpK","","Glycerol kinase","6","6","1","1","2527","","","","1496","1496","1496","GCF_002310475.1_02013","GCF_010669245.1_00528","GCF_012219705.1_01122","GCF_012219925.1_01404","GCF_012220065.1_01011","GCF_012220405.1_01199"
"brpA","","Biofilm regulatory protein A","6","6","1","1","3144","","","","1193","1193","1193","GCF_002310475.1_01803","GCF_010669245.1_00312","GCF_012219705.1_00813","GCF_012219925.1_00986","GCF_012220065.1_00788","GCF_012220405.1_00719"
"ndk","","Nucleoside diphosphate kinase","6","6","1","1","1972","","","","413","413","413","GCF_002310475.1_00023","GCF_010669245.1_00708","GCF_012219705.1_01380","GCF_012219925.1_01108","GCF_012220065.1_01328","GCF_012220405.1_01310"
"mtlD","","Mannitol-1-phosphate 5-dehydrogenase","6","6","1","1","757","","","","1148","1148","1148","GCF_002310475.1_01418","GCF_010669245.1_01359","GCF_012219705.1_00492","GCF_012219925.1_00625","GCF_012220065.1_00407","GCF_012220405.1_00390"
"pflB","","Formate acetyltransferase","6","6","1","1","507","","","","2300","2300","2300","GCF_002310475.1_00545","GCF_010669245.1_00006","GCF_012219705.1_01900","GCF_012219925.1_02102","GCF_012220065.1_01793","GCF_012220405.1_01778"
"sipP","","Signal peptidase I P","6","6","1","1","1216","","","","593","593","593","GCF_002310475.1_01072","GCF_010669245.1_01702","GCF_012219705.1_00078","GCF_012219925.1_00054","GCF_012220065.1_00053","GCF_012220405.1_00054"
"aroA","","3-phosphoshikimate 1-carboxyvinyltransferase","6","6","1","1","2893","","","","1280","1280","1280","GCF_002310475.1_01987","GCF_010669245.1_00501","GCF_012219705.1_01096","GCF_012219925.1_01432","GCF_012220065.1_00985","GCF_012220405.1_01012"
"group_3764","","hypothetical protein","6","6","1","1","2552","","","","845","845","845","GCF_002310475.1_02107","GCF_010669245.1_00607","GCF_012219705.1_01266","GCF_012219925.1_01279","GCF_012220065.1_01216","GCF_012220405.1_01035"
"spo0J","","Stage 0 sporulation protein J","6","6","1","1","1249","","","","761","761","761","GCF_002310475.1_01019","GCF_010669245.1_01755","GCF_012219705.1_02410","GCF_012219925.1_02561","GCF_012220065.1_02344","GCF_012220405.1_02325"
"group_3766","","hypothetical protein","6","6","1","1","1415","","","","866","866","866","GCF_002310475.1_01305","GCF_010669245.1_01486","GCF_012219705.1_00317","GCF_012219925.1_00493","GCF_012220065.1_00264","GCF_012220405.1_00264"
"recU","","Holliday junction resolvase RecU","6","6","1","1","3297","","","","599","599","599","GCF_002310475.1_01497","GCF_010669245.1_01287","GCF_012219705.1_00560","GCF_012219925.1_00699","GCF_012220065.1_00477","GCF_012220405.1_00460"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","6","6","1","1","2683","","","","680","680","680","GCF_002310475.1_00758","GCF_010669245.1_02109","GCF_012219705.1_02148","GCF_012219925.1_02347","GCF_012220065.1_02013","GCF_012220405.1_01986"
"hprK","","HPr kinase/phosphorylase","6","6","1","1","1517","","","","923","923","923","GCF_002310475.1_00622","GCF_010669245.1_02239","GCF_012219705.1_01983","GCF_012219925.1_02198","GCF_012220065.1_01868","GCF_012220405.1_01863"
"group_3770","","hypothetical protein","6","6","1","1","2529","","","","1451","1451","1451","GCF_002310475.1_02011","GCF_010669245.1_00525","GCF_012219705.1_01120","GCF_012219925.1_01406","GCF_012220065.1_01009","GCF_012220405.1_01202"
"map","","Methionine aminopeptidase 1","6","6","1","1","1487","","","","854","854","854","GCF_002310475.1_00651","GCF_010669245.1_02209","GCF_012219705.1_02012","GCF_012219925.1_02227","GCF_012220065.1_01897","GCF_012220405.1_01892"
"group_3772","","hypothetical protein","6","6","1","1","1473","","","","710","710","710","GCF_002310475.1_00664","GCF_010669245.1_02195","GCF_012219705.1_02025","GCF_012219925.1_02241","GCF_012220065.1_01911","GCF_012220405.1_01906"
"tagO","","putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase","6","6","1","1","1092","","","","1172","1172","1172","GCF_002310475.1_00480","GCF_010669245.1_00076","GCF_012219705.1_01834","GCF_012219925.1_02032","GCF_012220065.1_01727","GCF_012220405.1_01711"
"apu","","Amylopullulanase","6","6","1","1","3152","","","","1781","1781","1781","GCF_002310475.1_01510","GCF_010669245.1_01274","GCF_012219705.1_00573","GCF_012219925.1_00714","GCF_012220065.1_00490","GCF_012220405.1_00474"
"dnaB","","Replication initiation and membrane attachment protein","6","6","1","1","3053","","","","1184","1184","1184","GCF_002310475.1_01699","GCF_010669245.1_00202","GCF_012219705.1_00710","GCF_012219925.1_00867","GCF_012220065.1_00684","GCF_012220405.1_00616"
"nrdF","","Ribonucleoside-diphosphate reductase 2 subunit beta","6","6","1","1","1556","","","","962","962","962","GCF_002310475.1_02086","GCF_010669245.1_00595","GCF_012219705.1_01244","GCF_012219925.1_01302","GCF_012220065.1_01195","GCF_012220405.1_01060"
"citB","","Aconitate/2-methylaconitate hydratase","6","6","1","1","4128","","","","2609","2609","2609","GCF_002310475.1_02184","GCF_010669245.1_00677","GCF_012219705.1_01343","GCF_012219925.1_01147","GCF_012220065.1_01293","GCF_012220405.1_01278"
"pncB2","","Nicotinate phosphoribosyltransferase pncB2","6","6","1","1","2684","","","","1439","1439","1439","GCF_002310475.1_00757","GCF_010669245.1_02110","GCF_012219705.1_02147","GCF_012219925.1_02346","GCF_012220065.1_02012","GCF_012220405.1_01985"
"group_3779","","hypothetical protein","6","6","1","1","3734","","","","806","806","806","GCF_002310475.1_00355","GCF_010669245.1_01040","GCF_012219705.1_01710","GCF_012219925.1_01814","GCF_012220065.1_01610","GCF_012220405.1_01591"
"secA","","Protein translocase subunit SecA","6","6","1","1","1684","","","","2591","2591","2591","GCF_002310475.1_00789","GCF_010669245.1_02079","GCF_012219705.1_02178","GCF_012219925.1_02377","GCF_012220065.1_02043","GCF_012220405.1_02016"
"rlmL_2","","Ribosomal RNA large subunit methyltransferase K/L","6","6","1","1","2925","","","","1136","1136","1136","GCF_002310475.1_01956","GCF_010669245.1_00468","GCF_012219705.1_01067","GCF_012219925.1_01462","GCF_012220065.1_00956","GCF_012220405.1_00979"
"group_3782","","putative ABC transporter ATP-binding protein","6","6","1","1","3399","","","","1772","1772","1772","GCF_002310475.1_01359","GCF_010669245.1_01422","GCF_012219705.1_00374","GCF_012219925.1_00561","GCF_012220065.1_00346","GCF_012220405.1_00324"
"hpt","","Hypoxanthine-guanine phosphoribosyltransferase","6","6","1","1","1277","","","","548","548","548","GCF_002310475.1_01036","GCF_010669245.1_01738","GCF_012219705.1_00042","GCF_012219925.1_00017","GCF_012220065.1_00017","GCF_012220405.1_00017"
